incident_id,kind,cik,startdt,enddt,query,url,hits_total,hit_ids
TBD-18,SPECIFIC,72971,2022-03-10,2023-03-10,"""mortgage""",https://efts.sec.gov/LATEST/search-index?q=%22mortgage%22&forms=8-K%2C10-K%2C10-Q&ciks=0000072971&dateRange=custom&startdt=2022-03-10&enddt=2023-03-10,,
TBD-18,SPECIFIC,72971,2022-03-10,2023-03-10,"""refinanc""",https://efts.sec.gov/LATEST/search-index?q=%22refinanc%22&forms=8-K%2C10-K%2C10-Q&ciks=0000072971&dateRange=custom&startdt=2022-03-10&enddt=2023-03-10,,
TBD-18,GENERIC,72971,2022-03-10,2023-03-10,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000072971&dateRange=custom&startdt=2022-03-10&enddt=2023-03-10,,
TBD-19,SPECIFIC,789019,2024-01-25,2025-01-25,"""Designer""",https://efts.sec.gov/LATEST/search-index?q=%22Designer%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2024-01-25&enddt=2025-01-25,,
TBD-19,SPECIFIC,789019,2024-01-25,2025-01-25,"""deepfake""",https://efts.sec.gov/LATEST/search-index?q=%22deepfake%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2024-01-25&enddt=2025-01-25,,
TBD-19,SPECIFIC,789019,2024-01-25,2025-01-25,"""nonconsensual""",https://efts.sec.gov/LATEST/search-index?q=%22nonconsensual%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2024-01-25&enddt=2025-01-25,,
TBD-19,GENERIC,789019,2024-01-25,2025-01-25,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0000789019&dateRange=custom&startdt=2024-01-25&enddt=2025-01-25,,
TBD-20,SPECIFIC,1318605,2019-10-01,2020-10-01,"""Smart Summon""",https://efts.sec.gov/LATEST/search-index?q=%22Smart%20Summon%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2019-10-01&enddt=2020-10-01,,
TBD-20,SPECIFIC,1318605,2019-10-01,2020-10-01,"""Autopilot""",https://efts.sec.gov/LATEST/search-index?q=%22Autopilot%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2019-10-01&enddt=2020-10-01,,
TBD-20,GENERIC,1318605,2019-10-01,2020-10-01,"""artificial intelligence"" OR ""machine learning"" OR ""algorithm"" OR ""automated decision"" OR ""AI system"" OR ""model risk""",https://efts.sec.gov/LATEST/search-index?q=%22artificial%20intelligence%22%20OR%20%22machine%20learning%22%20OR%20%22algorithm%22%20OR%20%22automated%20decision%22%20OR%20%22AI%20system%22%20OR%20%22model%20risk%22&forms=8-K%2C10-K%2C10-Q&ciks=0001318605&dateRange=custom&startdt=2019-10-01&enddt=2020-10-01,,
